Name,Response rate,Popularity,Room Score,Service Score,Food Score,Location Score,Overall Score
Holiday Inn Express Hotel & Suites Aurora [Colorado],4%,81%,55,67,65,91,75
Holiday Inn Express Hotel & Suites Denver Airport,47%,51%,51,69,57,86,76
Holiday Inn Express Hotel & Suites Denver East-Peoria Street,91%,54%,70,81,87,82,80
Hollywood Casino Aurora,69%,38%,50,72,70,80,71
Home2 by Hilton Denver Downtown Convention Center,81%,41%,63,65,54,87,75
Home2 Suites by Hilton Denver International Airport,94%,87%,86,87,71,89,89
Home2 Suites by Hilton Denver West - Federal Center,13%,,60,80,57,83,88
Homewood Suites by Hilton Denver Airport Tower Road,80%,,78,94,63,98,92
Homewood Suites by Hilton Denver Downtown Convention Center,30%,86%,71,79,77,87,84
Homewood Suites by Hilton Denver International Airport,43%,67%,85,85,76,91,88
Homewood Suites by Hilton Denver Littleton,51%,65%,66,75,63,97,83
Homewood Suites by Hilton Denver West - Lakewood,2%,95%,62,80,85,94,86
Hotel Bertram Inn & Conference Center,0%,62%,57,74,76,88,83
Hotel Holiday Inn Chicago Aurora,32%,40%,48,71,38,94,78
Hotel Indigo Denver Downtown,54%,91%,78,93,77,95,88
Hotel Inn Walden,15%,0%,88,100,88,100,95
Hotel La Quinta Inn Denver Golden,95%,,44,73,47,85,69
Hotel La Quinta Inn Denver NorthGlenn,87%,29%,50,78,49,79,70
Hotel Quality Inn Aurora,98%,,45,57,40,87,59
Hotel Ramada Limited Denver Intl Airport,0%,,100,100,67,100,82
Hotel Super 8 Aurora/Naperville Area,18%,100%,40,68,31,95,71
Hotel Teatro,81%,77%,75,93,78,94,92
Hotel The Timbers,60%,36%,47,56,66,68,72
Hyatt House Denver / Downtown,2%,89%,70,81,69,85,84
Hyatt House Denver Airport,92%,79%,75,77,69,88,85
Hyatt House Denver Lakewood Belmar,79%,,76,85,66,92,91
Hyatt Place Denver / Downtown,8%,87%,73,78,67,82,81
Hyatt Place Denver Pena Station,72%,50%,77,77,72,89,87
Hyatt Place Hotel Denver Airport Aurora,36%,86%,69,89,82,94,83
Hyatt Regency Aurora-Denver Conference Center,46%,,70,81,59,60,88
Hyatt Regency Denver at Colorado Convention Center,53%,95%,80,89,74,90,89
